libelle_region,Classe_DPE,Nombre_logements
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,4.0
Grand Est,B,1.0
Grand Est,B,1.0
Grand Est,B,2.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,2.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,1.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,1.0
Île-de-France,B,0.0
Île-de-France,B,11.0
Île-de-France,B,0.0
Île-de-France,B,129.0
Île-de-France,B,1.0
Île-de-France,B,35.0
Île-de-France,B,0.0
Île-de-France,B,1.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,51.0
Île-de-France,B,7.0
Île-de-France,B,0.0
Île-de-France,B,3.0
Île-de-France,B,0.0
Auvergne-Rhône-Alpes,C,34.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,24.0
Auvergne-Rhône-Alpes,C,48.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,26.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,4.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,4.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,16.0
Auvergne-Rhône-Alpes,C,22.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,49.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,15.0
Auvergne-Rhône-Alpes,C,19.0
Auvergne-Rhône-Alpes,C,33.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,8.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,12.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,4.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,58.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,0.0
